"","colony","year","Site","track","sample","calc","density","extension","StavR","WtavR","WtsdR","winSlope","StsdR","sumSlope","WcsavR","WcssdR","ScsavR","ScssdR","gulf","dia","height","tf"
"62","ala10",2006,"AlAqah","t1","ala10_t1",0.982,1.819283779,0.5398,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",18,8.5,TRUE
"63","ala10",2005,"AlAqah","t1","ala10_t1",0.679,1.922772069,0.3532,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",18,8.5,TRUE
"64","ala10",2007,"AlAqah","t1","ala10_t1",0.942,1.638399345,0.5752,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",18,8.5,TRUE
"65","ala10",2009,"AlAqah","t2","ala10_t2",0.927,1.914827266,0.4843,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",18,8.5,TRUE
"66","ala10",2008,"AlAqah","t2","ala10_t2",0.715,1.864734084,0.3834,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",18,8.5,TRUE
"67","ala10",2007,"AlAqah","t2","ala10_t2",0.775,1.669882945,0.4642,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",18,8.5,TRUE
"68","ala12",2000,"AlAqah","t1","ala12_t1",0.797,1.534611805,0.6559,31.6473913043478,23.4765934065934,0.61408146361541,0.0958541383709924,0.95653664367487,-0.0338162736140264,0.149681318681319,0.078806920045962,0.142163043478261,0.0813674715865848,"oman",23,13.5,TRUE
"69","ala12",2000,"AlAqah","t2","ala12_t2",1.007,1.397307758,0.5701,31.6473913043478,23.4765934065934,0.61408146361541,0.0958541383709924,0.95653664367487,-0.0338162736140264,0.149681318681319,0.078806920045962,0.142163043478261,0.0813674715865848,"oman",23,13.5,TRUE
"70","ala12",2001,"AlAqah","t1","ala12_t1",1.26,1.550964286,0.5701,31.8775,23.2481111111111,0.689440245912686,0.0706652673169527,0.63584610931048,-0.0223383133720212,0.114466666666667,0.0613437908362151,0.136252747252747,0.0610876589476309,"oman",23,13.5,TRUE
"71","ala12",2001,"AlAqah","t2","ala12_t2",0.884,1.427017033,0.8829,31.8775,23.2481111111111,0.689440245912686,0.0706652673169527,0.63584610931048,-0.0223383133720212,0.114466666666667,0.0613437908362151,0.136252747252747,0.0610876589476309,"oman",23,13.5,TRUE
"72","ala12",2013,"AlAqah","t2","ala12_t2",0.719,0.959411758,0.5247,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",23,13.5,TRUE
"73","ala12",2006,"AlAqah","t1","ala12_t1",0.727,1.281631895,1.0948,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",23,13.5,TRUE
"74","ala12",2006,"AlAqah","t2","ala12_t2",1.403,1.108129861,0.6559,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",23,13.5,TRUE
"75","ala12",2012,"AlAqah","t1","ala12_t1",0.514,0.95651421,0.3734,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",23,13.5,TRUE
"76","ala12",2012,"AlAqah","t2","ala12_t2",0.357,0.998177685,0.5147,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",23,13.5,TRUE
"77","ala12",2003,"AlAqah","t2","ala12_t2",0.936,1.167325668,1.5691,30.9294565217391,23.412,0.613362806652205,0.0552400707906327,0.551555969145341,-0.0250495946001563,0.141766666666667,0.0710182837670236,0.089304347826087,0.0403241642523056,"oman",23,13.5,TRUE
"78","ala12",2008,"AlAqah","t1","ala12_t1",0.422,1.146911381,0.444,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",23,13.5,TRUE
"79","ala12",2008,"AlAqah","t2","ala12_t2",0.509,1.031900283,0.4087,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",23,13.5,TRUE
"80","ala12",2011,"AlAqah","t1","ala12_t1",0.239,1.023583779,0.3632,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",23,13.5,TRUE
"81","ala12",2011,"AlAqah","t2","ala12_t2",0.372,1.10011661,0.2169,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",23,13.5,TRUE
"82","ala12",2007,"AlAqah","t1","ala12_t1",0.505,1.167108299,0.555,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",23,13.5,TRUE
"83","ala12",2005,"AlAqah","t1","ala12_t1",0.696,1.266336106,1.3269,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",23,13.5,TRUE
"84","ala12",2005,"AlAqah","t2","ala12_t2",1.68,1.053343505,0.6609,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",23,13.5,TRUE
"85","ala12",2013,"AlAqah","t1","ala12_t1",0.503,1.047378668,0.6861,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",23,13.5,TRUE
"86","ala12",2004,"AlAqah","t1","ala12_t1",1.21,1.376217515,0.7568,31.4727173913043,23.7654945054945,0.870207208704103,0.0577824422768243,0.944965960501967,-0.0287937605465694,0.120296703296703,0.0566781350170504,0.118380434782609,0.0497403902898089,"oman",23,13.5,TRUE
"87","ala12",2004,"AlAqah","t2","ala12_t2",1.042,1.152728883,1.0494,31.4727173913043,23.7654945054945,0.870207208704103,0.0577824422768243,0.944965960501967,-0.0287937605465694,0.120296703296703,0.0566781350170504,0.118380434782609,0.0497403902898089,"oman",23,13.5,TRUE
"88","ala12",2002,"AlAqah","t2","ala12_t2",0.982,1.262126382,0.6458,32.2835869565217,24.0335555555556,0.871005245293241,0.050457998929909,0.982160190960273,-0.0303648187018975,0.127066666666667,0.0671330726110629,0.131304347826087,0.0415797232732745,"oman",23,13.5,TRUE
"89","ala12",2003,"AlAqah","t1","ala12_t1",1.832,1.262105586,0.7416,30.9294565217391,23.412,0.613362806652205,0.0552400707906327,0.551555969145341,-0.0250495946001563,0.141766666666667,0.0710182837670236,0.089304347826087,0.0403241642523056,"oman",23,13.5,TRUE
"90","ala12",2002,"AlAqah","t1","ala12_t1",0.815,1.473910828,0.666,32.2835869565217,24.0335555555556,0.871005245293241,0.050457998929909,0.982160190960273,-0.0303648187018975,0.127066666666667,0.0671330726110629,0.131304347826087,0.0415797232732745,"oman",23,13.5,TRUE
