year,site,colony,track,sample,calc,extension,density,hdbands,partmort,height,diameter
2010,ras,ras07,t1,ras07_t1,0.424,0.3179,1.333943005,0,0,4,11
2009,ras,ras07,t1,ras07_t1,0.372,0.2623,1.41699776,0,0,4,11
2008,ras,ras07,t1,ras07_t1,0.511,0.333,1.534394661,0,0,4,11
2007,ras,ras07,t1,ras07_t1,0.551,0.3633,1.517027294,0,0,4,11
2006,ras,ras07,t1,ras07_t1,0.563,0.4036,1.394170038,0,0,4,11
2013,ras,ras09,t1,ras09_t1,0.3,0.2119,1.418028685,0,0,5,18
2012,ras,ras09,t1,ras09_t1,0.859,0.6104,1.407224212,0,0,5,18
2011,ras,ras09,t1,ras09_t1,0.465,0.3179,1.462539626,0,0,5,18
2010,ras,ras09,t1,ras09_t1,0.683,0.4843,1.411224351,0,0,5,18
2009,ras,ras09,t1,ras09_t1,0.993,0.6761,1.469250547,0,0,5,18
2008,ras,ras09,t1,ras09_t1,0.728,0.5196,1.400745484,0,0,5,18
2007,ras,ras09,t1,ras09_t1,0.492,0.3078,1.598221128,0,0,5,18
2006,ras,ras09,t1,ras09_t1,0.534,0.3027,1.763206791,0,0,5,18
2013,ras,ras11,t1,ras11_t1,0.83,0.5499,1.510067803,1,0,11,14
2012,ras,ras11,t1,ras11_t1,0.807,0.4793,1.682977163,1,0,11,14
2011,ras,ras11,t1,ras11_t1,1.341,0.8375,1.601444216,0,0,11,14
2010,ras,ras11,t1,ras11_t1,0.761,0.4743,1.605190327,0,0,11,14
2009,ras,ras11,t1,ras11_t1,1.352,0.9737,1.388186649,0,0,11,14
2008,ras,ras11,t1,ras11_t1,0.841,0.6509,1.292686559,0,0,11,14
2007,ras,ras11,t1,ras11_t1,0.777,0.6054,1.284208987,0,0,11,14
2006,ras,ras11,t1,ras11_t1,1.093,0.8325,1.312845373,0,0,11,14
2005,ras,ras11,t1,ras11_t1,1.201,1.0141,1.184375482,0,0,11,14
2004,ras,ras11,t1,ras11_t1,0.753,0.5903,1.276333046,0,0,11,14
2003,ras,ras11,t1,ras11_t1,0.993,0.898,1.105626309,0,0,11,14
2002,ras,ras11,t1,ras11_t1,0.832,0.9031,0.921658111,0,0,11,14
2001,ras,ras11,t1,ras11_t1,1.299,1.3521,0.960358178,0,0,11,14
2013,ras,ras12,t1,ras12_t1,0.702,0.5197,1.351514891,0,0,12,16
2012,ras,ras12,t1,ras12_t1,0.828,0.5751,1.440465387,0,0,12,16
2011,ras,ras12,t1,ras12_t1,0.986,0.6256,1.576498358,0,0,12,16
2010,ras,ras12,t1,ras12_t1,0.798,0.4491,1.776386716,0,0,12,16
2009,ras,ras12,t1,ras12_t1,0.469,0.2623,1.787400908,0,0,12,16
2008,ras,ras12,t1,ras12_t1,1.525,0.893,1.707831829,0,0,12,16
2007,ras,ras12,t1,ras12_t1,0.775,0.4793,1.616763277,0,0,12,16
2006,ras,ras12,t1,ras12_t1,1.277,0.7265,1.757198656,0,0,12,16
2005,ras,ras12,t1,ras12_t1,0.706,0.3936,1.792587447,0,0,12,16
2004,ras,ras12,t1,ras12_t1,0.819,0.6004,1.363652075,0,0,12,16
2003,ras,ras12,t1,ras12_t1,0.727,0.4893,1.486018032,1,1,12,16
2002,ras,ras12,t1,ras12_t1,0.614,0.4238,1.449600272,0,0,12,16
2001,ras,ras12,t1,ras12_t1,1.058,0.6307,1.677848451,0,0,12,16
2000,ras,ras12,t1,ras12_t1,1.452,0.6206,2.339443606,0,0,12,16
1999,ras,ras12,t1,ras12_t1,1.287,0.5247,2.453572955,0,0,12,16
1998,ras,ras12,t1,ras12_t1,0.594,0.333,1.783882946,0,0,12,16
1997,ras,ras12,t1,ras12_t1,0.577,0.3683,1.566033855,0,0,12,16
1996,ras,ras12,t1,ras12_t1,0.637,0.3582,1.776944301,0,0,12,16
2013,ras,ras13,t1,ras13_t1,0.804,0.6912,1.163063116,0,0,8.5,23
2012,ras,ras13,t1,ras13_t1,1.039,0.7316,1.420699286,1,0,8.5,23
2011,ras,ras13,t1,ras13_t1,1.143,0.777,1.470745466,0,0,8.5,23
2010,ras,ras13,t1,ras13_t1,0.943,0.6659,1.416181199,1,0,8.5,23
2009,ras,ras13,t1,ras13_t1,0.562,0.3431,1.638122887,0,0,8.5,23
2008,ras,ras13,t1,ras13_t1,0.574,0.3834,1.496715183,0,0,8.5,23
2007,ras,ras13,t1,ras13_t1,0.597,0.4642,1.285784858,0,0,8.5,23
2006,ras,ras13,t1,ras13_t1,0.511,0.4137,1.234906706,0,0,8.5,23
2005,ras,ras13,t1,ras13_t1,0.694,0.5247,1.323308322,1,0,8.5,23
2004,ras,ras13,t1,ras13_t1,0.493,0.439,1.122181379,0,0,8.5,23
2003,ras,ras13,t1,ras13_t1,,,1.100511519,0,0,8.5,23
2013,ras,ras15,t1,ras15_t1,0.365,0.3178,1.147780042,0,0,6,14
2012,ras,ras15,t1,ras15_t1,0.578,0.4995,1.156725508,1,0,6,14
2011,ras,ras15,t1,ras15_t1,0.548,0.4137,1.323683863,0,0,6,14
2010,ras,ras15,t1,ras15_t1,1.327,1.004,1.321792954,0,0,6,14
2009,ras,ras15,t1,ras15_t1,0.884,0.6761,1.307650485,0,0,6,14
2008,ras,ras15,t1,ras15_t1,0.555,0.3834,1.448848457,1,0,6,14
2007,ras,ras15,t1,ras15_t1,0.585,0.3986,1.467404659,0,0,6,14
2006,ras,ras15,t1,ras15_t1,0.526,0.4339,1.212452827,0,0,6,14
2005,ras,ras15,t1,ras15_t1,0.716,0.671,1.067333091,1,0,6,14
2004,ras,ras15,t1,ras15_t1,0.38,0.3481,1.091673264,0,0,6,14
2013,ras,ras16,t1,ras16_t1,0.604,0.4743,1.273840787,0,0,7,15
2012,ras,ras16,t1,ras16_t1,0.651,0.449,1.448860241,0,0,7,15
2011,ras,ras16,t1,ras16_t1,0.676,0.56,1.206631139,0,0,7,15
2010,ras,ras16,t1,ras16_t1,0.875,0.7215,1.213169725,0,0,7,15
2009,ras,ras16,t1,ras16_t1,0.54,0.3935,1.37123791,0,0,7,15
2008,ras,ras16,t1,ras16_t1,0.513,0.3582,1.432346008,0,0,7,15
2007,ras,ras16,t1,ras16_t1,0.454,0.333,1.363047084,0,0,7,15
2006,ras,ras16,t1,ras16_t1,0.626,0.4843,1.293457584,0,0,7,15
2005,ras,ras16,t1,ras16_t1,0.753,0.6458,1.166435539,0,0,7,15
2004,ras,ras16,t1,ras16_t1,0.533,0.3683,1.446576989,0,0,7,15
2003,ras,ras16,t1,ras16_t1,0.301,0.1918,1.566861235,0,0,7,15
2013,ras,ras21,t1,ras21_t1,0.738,0.6962,1.059797457,0,0,8.5,24
2012,ras,ras21,t1,ras21_t1,0.494,0.4238,1.164469051,1,0,8.5,24
2011,ras,ras21,t1,ras21_t1,0.388,0.3179,1.221837663,1,0,8.5,24
2010,ras,ras21,t1,ras21_t1,0.493,0.454,1.085430555,0,0,8.5,24
2009,ras,ras21,t1,ras21_t1,0.319,0.333,0.959085243,0,0,8.5,24
2008,ras,ras21,t1,ras21_t1,0.873,0.9283,0.940640445,0,0,8.5,24
2007,ras,ras21,t1,ras21_t1,0.477,0.4642,1.028500998,0,0,8.5,24
2006,ras,ras21,t1,ras21_t1,0.494,0.4743,1.040794888,0,0,8.5,24
2005,ras,ras21,t1,ras21_t1,0.442,0.4338,1.019727894,0,0,8.5,24
2004,ras,ras21,t1,ras21_t1,0.623,0.4844,1.285353512,0,0,8.5,24
2003,ras,ras21,t1,ras21_t1,0.718,0.5146,1.39504033,1,1,8.5,24
2013,sad,sad05,t1,sad05_t1,1.654,0.6509,1.038662472,0,0,11,18
2012,sad,sad05,t1,sad05_t1,1.458,0.6811,1.138132795,0,0,11,18
2011,sad,sad05,t1,sad05_t1,1.396,0.5499,1.312465753,0,0,11,18
2010,sad,sad05,t1,sad05_t1,1.262,0.7063,1.300547682,0,0,11,18
2009,sad,sad05,t1,sad05_t1,1.273,0.9082,0.947415497,0,0,11,18
2008,sad,sad05,t1,sad05_t1,1.203,0.8678,0.869273652,0,0,11,18
2007,sad,sad05,t1,sad05_t1,1.142,0.6458,1.039177795,0,0,11,18
2006,sad,sad05,t1,sad05_t1,1.128,0.7265,1.038705245,0,0,11,18
2005,sad,sad05,t1,sad05_t1,1.084,0.56,1.134762376,0,0,11,18
2004,sad,sad05,t1,sad05_t1,1.209,0.666,1.197089557,0,0,11,18
2003,sad,sad05,t1,sad05_t1,1.393,0.9081,1.288997834,0,0,11,18
2002,sad,sad05,t1,sad05_t1,1.752,,,0,0,11,18
2001,sad,sad05,t1,sad05_t1,1.52,,,0,0,11,18
2000,sad,sad05,t1,sad05_t1,1.507,,,0,0,11,18
1999,sad,sad05,t1,sad05_t1,1.499,,,0,0,11,18
1998,sad,sad05,t1,sad05_t1,1.626,,,0,0,11,18
1997,sad,sad05,t1,sad05_t1,1.909,,,0,0,11,18
2013,sad,sad07,t1,sad07_t1,1.314,0.8526,1.541231615,0,0,10,17
2012,sad,sad07,t1,sad07_t1,1.114,0.7619,1.462095951,0,0,10,17
2011,sad,sad07,t1,sad07_t1,1.193,0.7719,1.545148119,0,0,10,17
2010,sad,sad07,t1,sad07_t1,1.461,0.8324,1.755606518,0,0,10,17
2009,sad,sad07,t1,sad07_t1,0.954,0.5651,1.688882836,0,0,10,17
2008,sad,sad07,t1,sad07_t1,1.024,0.5853,1.748756866,0,0,10,17
2007,sad,sad07,t1,sad07_t1,1.593,0.8829,1.804059922,0,0,10,17
2006,sad,sad07,t1,sad07_t1,1.421,0.8123,1.749964803,0,0,10,17
2005,sad,sad07,t1,sad07_t1,1.618,0.8627,1.875989521,0,0,10,17
2004,sad,sad07,t1,sad07_t1,0.834,0.4692,1.777228882,0,0,10,17
2003,sad,sad07,t1,sad07_t1,1.084,0.6862,1.579263264,0,0,10,17
2013,sad,sad08,t1,sad08_t1,0.681,0.53,1.284728746,0,0,11,16
2012,sad,sad08,t1,sad08_t1,0.862,0.735,1.172577512,0,0,11,16
2011,sad,sad08,t1,sad08_t1,0.561,0.355,1.58093587,0,0,11,16
2010,sad,sad08,t1,sad08_t1,1.092,0.855,1.277626728,0,0,11,16
2009,sad,sad08,t1,sad08_t1,0.818,0.595,1.375353496,0,0,11,16
2008,sad,sad08,t1,sad08_t1,0.788,0.54,1.460057347,0,0,11,16
2007,sad,sad08,t1,sad08_t1,0.815,0.71,1.147364943,0,0,11,16
2006,sad,sad08,t1,sad08_t1,1.253,0.995,1.259601617,0,0,11,16
2005,sad,sad08,t1,sad08_t1,1.04,0.58,1.792329869,0,0,11,16
2004,sad,sad08,t1,sad08_t1,1.126,0.705,1.597437176,0,0,11,16
2003,sad,sad08,t1,sad08_t1,0.84,0.6,1.399189507,0,0,11,16
2002,sad,sad08,t1,sad08_t1,0.745,0.555,1.342315444,0,0,11,16
2001,sad,sad08,t1,sad08_t1,0.751,0.52,1.444176835,0,0,11,16
2013,sad,sad12,t1,sad12_t1,0.823,0.5348,1.53968555,0,0,9,16
2012,sad,sad12,t1,sad12_t1,1.222,0.782,1.56287558,0,0,9,16
2011,sad,sad12,t1,sad12_t1,1.106,0.8324,1.328656931,0,0,9,16
