,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
65,1985MAY11,11/5/85,131,1985,MAY,spring,Delma,27.79046102,27.72,1985,1,0,65
66,1985MAY12,12/5/85,132,1985,MAY,spring,Delma,27.90573289,27.36,1985,1,0,66
67,1985MAY13,13/5/85,133,1985,MAY,spring,Delma,28.0309685,27.53,1985,1,0,67
68,1985MAY14,14/5/85,134,1985,MAY,spring,Delma,28.13550604,27.66,1985,1,0,68
69,1985MAY15,15/5/85,135,1985,MAY,spring,Delma,28.1647719,27.76,1985,1,0,69
70,1985MAY16,16/5/85,136,1985,MAY,spring,Delma,28.21813564,28.08,1985,1,0,70
71,1985MAY17,17/5/85,137,1985,MAY,spring,Delma,28.34171756,28.3,1985,1,0,71
72,1985MAY18,18/5/85,138,1985,MAY,spring,Delma,28.49682188,28.52,1985,1,0,72
73,1985MAY19,19/5/85,139,1985,MAY,spring,Delma,28.96657897,29.78,1985,1,0,73
74,1985MAY20,20/5/85,140,1985,MAY,spring,Delma,29.41036844,29.87,1985,1,0,74
75,1985MAY21,21/5/85,141,1985,MAY,spring,Delma,29.77498598,29.87,1985,1,0,75
76,1985MAY22,22/5/85,142,1985,MAY,spring,Delma,30.02232118,29.67,1985,1,0,76
77,1985MAY23,23/5/85,143,1985,MAY,spring,Delma,30.15801169,29.48,1985,1,0,77
78,1985MAY24,24/5/85,144,1985,MAY,spring,Delma,30.27694347,29.62,1985,1,0,78
79,1985MAY25,25/5/85,145,1985,MAY,spring,Delma,30.36401767,29.67,1985,1,0,79
80,1985MAY26,26/5/85,146,1985,MAY,spring,Delma,30.22881531,29.25,1985,1,0,80
81,1985MAY27,27/5/85,147,1985,MAY,spring,Delma,30.05897327,29.39,1985,1,0,81
82,1985MAY28,28/5/85,148,1985,MAY,spring,Delma,29.84177684,29.15,1985,1,0,82
83,1985MAY29,29/5/85,149,1985,MAY,spring,Delma,29.74953992,29.46,1985,1,0,83
84,1985MAY30,30/5/85,150,1985,MAY,spring,Delma,29.68760127,29.43,1985,1,0,84
85,1985MAY31,31/5/85,151,1985,MAY,spring,Delma,29.67725443,29.58,1985,1,0,85
86,1985JUN01,1/6/85,152,1985,JUN,summer,Delma,29.71428717,29.8,1985,1,0,86
87,1985JUN02,2/6/85,153,1985,JUN,summer,Delma,29.74171555,29.69,1985,1,0,87
88,1985JUN03,3/6/85,154,1985,JUN,summer,Delma,29.90148681,30.13,1985,1,0,88
89,1985JUN04,4/6/85,155,1985,JUN,summer,Delma,29.97195524,29.85,1985,1,0,89
90,1985JUN05,5/6/85,156,1985,JUN,summer,Delma,29.9803612,29.67,1985,1,0,90
91,1986FEB12,12/2/86,43,1986,FEB,winter,Delma,20.25804623,18.98,1986,1,0,1
92,1986FEB13,13/2/86,44,1986,FEB,winter,Delma,19.9889734,19.06,1986,1,0,2
93,1986FEB14,14/2/86,45,1986,FEB,winter,Delma,19.82177695,19.28,1986,1,0,3
94,1986FEB15,15/2/86,46,1986,FEB,winter,Delma,19.66954002,19.42,1986,1,0,4
95,1986FEB16,16/2/86,47,1986,FEB,winter,Delma,19.43493468,19.31,1986,1,0,5
96,1986FEB17,17/2/86,48,1986,FEB,winter,Delma,19.22894339,19.4,1986,1,0,6
97,1986FEB18,18/2/86,49,1986,FEB,winter,Delma,19.00241761,19.12,1986,1,0,7
98,1986FEB19,19/2/86,50,1986,FEB,winter,Delma,18.90142859,19,1986,1,0,8
99,1986FEB20,20/2/86,51,1986,FEB,winter,Delma,18.91723811,19.02,1986,1,0,9
100,1986FEB21,21/2/86,52,1986,FEB,winter,Delma,18.9829397,19.29,1986,1,0,10
101,1986FEB22,22/2/86,53,1986,FEB,winter,Delma,19.14388107,19.77,1986,1,0,11
102,1986FEB23,23/2/86,54,1986,FEB,winter,Delma,19.31069693,19.88,1986,1,0,12
103,1986FEB24,24/2/86,55,1986,FEB,winter,Delma,19.44060401,19.82,1986,1,0,13
104,1986FEB25,25/2/86,56,1986,FEB,winter,Delma,19.58719014,19.9,1986,1,0,14
105,1986FEB26,26/2/86,57,1986,FEB,winter,Delma,19.90356479,20.51,1986,1,0,15
106,1986FEB27,27/2/86,58,1986,FEB,winter,Delma,20.15508948,20.4,1986,1,0,16
107,1986FEB28,28/2/86,59,1986,FEB,winter,Delma,20.27641088,20.11,1986,1,0,17
108,1986MAR01,1/3/86,60,1986,MAR,spring,Delma,20.2515561,19.81,1986,1,0,18
109,1986MAR02,2/3/86,61,1986,MAR,spring,Delma,20.13468195,19.6,1986,1,0,19
110,1986MAR03,3/3/86,62,1986,MAR,spring,Delma,20.10205769,19.87,1986,1,0,20
111,1986MAR04,4/3/86,63,1986,MAR,spring,Delma,20.07245,19.87,1986,1,0,21
112,1986MAR05,5/3/86,64,1986,MAR,spring,Delma,20.01412333,19.92,1986,1,0,22
113,1986MAR06,6/3/86,65,1986,MAR,spring,Delma,19.99424022,20.16,1986,1,0,23
114,1986MAR07,7/3/86,66,1986,MAR,spring,Delma,19.92900819,19.88,1986,1,0,24
115,1986MAR08,8/3/86,67,1986,MAR,spring,Delma,19.91714043,19.9,1986,1,0,25
116,1986MAR09,9/3/86,68,1986,MAR,spring,Delma,19.97018838,20.01,1986,1,0,26
117,1986MAR10,10/3/86,69,1986,MAR,spring,Delma,20.11349659,20.39,1986,1,0,27
118,1986MAR11,11/3/86,70,1986,MAR,spring,Delma,20.28103038,20.62,1986,1,0,28
119,1986MAR12,12/3/86,71,1986,MAR,spring,Delma,20.654893,21.49,1986,1,0,29
120,1986MAR13,13/3/86,72,1986,MAR,spring,Delma,20.9062406,21.29,1986,1,0,30
121,1986MAR14,14/3/86,73,1986,MAR,spring,Delma,21.17207518,21.46,1986,1,0,31
122,1986MAR15,15/3/86,74,1986,MAR,spring,Delma,21.43846516,21.53,1986,1,0,32
123,1986MAR16,16/3/86,75,1986,MAR,spring,Delma,21.58333647,21.24,1986,1,0,33
124,1986MAR17,17/3/86,76,1986,MAR,spring,Delma,21.54289161,20.74,1986,1,0,34
125,1986MAR18,18/3/86,77,1986,MAR,spring,Delma,21.45650606,20.7,1986,1,0,35
126,1986MAR19,19/3/86,78,1986,MAR,spring,Delma,21.23097192,20.41,1986,1,0,36
127,1986MAR20,20/3/86,79,1986,MAR,spring,Delma,20.873509,19.97,1986,1,0,37
128,1986MAR21,21/3/86,80,1986,MAR,spring,Delma,20.8297078,20.96,1986,1,0,38
129,1986MAR22,22/3/86,81,1986,MAR,spring,Delma,20.99708009,21.79,1986,1,0,39
130,1986MAR23,23/3/86,82,1986,MAR,spring,Delma,21.11146941,21.62,1986,1,0,40
131,1986MAR24,24/3/86,83,1986,MAR,spring,Delma,21.27127349,21.65,1986,1,0,41
132,1986MAR25,25/3/86,84,1986,MAR,spring,Delma,21.29910369,21.1,1986,1,0,42
133,1986MAR26,26/3/86,85,1986,MAR,spring,Delma,21.51055653,21.72,1986,1,0,43
134,1986MAR27,27/3/86,86,1986,MAR,spring,Delma,21.769149,21.82,1986,1,0,44
