Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Jul-22,22/7/12,31.705,-0.308,0,0.749
2012-Jul-23,23/7/12,32.619,0.616,0.53,0.749
2012-Jul-24,24/7/12,32.986,0.995,0.898,0.749
2012-Jul-25,25/7/12,32.054,0.073,0,0.749
2012-Jul-26,26/7/12,32.513,0.543,0.424,0.749
2012-Jul-27,27/7/12,32.085,0.126,0,0.749
2012-Jul-28,28/7/12,32.864,0.916,0.776,0.749
2012-Jul-29,29/7/12,32.731,0.793,0.642,0.749
2012-Jul-30,30/7/12,33.434,1.507,1.346,0.941
2012-Jul-31,31/7/12,33.787,1.871,1.698,1.184
2012-Aug-01,1/8/12,33.409,1.503,1.32,1.373
2012-Aug-02,2/8/12,33.06,1.166,0.972,1.373
2012-Aug-03,3/8/12,33.444,1.561,1.356,1.566
2012-Aug-04,4/8/12,32.819,0.946,0.731,1.566
2012-Aug-05,5/8/12,32.89,1.028,0.802,1.566
2012-Aug-06,6/8/12,32.588,0.736,0.499,1.566
2012-Aug-07,7/8/12,32.06,0.22,0,1.566
2012-Aug-08,8/8/12,31.806,-0.024,0,1.566
2012-Aug-09,9/8/12,31.93,0.111,0,1.566
2012-Aug-10,10/8/12,32.741,0.932,0.652,1.566
2012-Aug-11,11/8/12,32.353,0.556,0.265,1.566
2012-Aug-12,12/8/12,31.651,-0.135,0,1.566
2012-Aug-13,13/8/12,,,,1.566
2012-Aug-14,14/8/12,31.148,-0.617,0,1.566
2012-Aug-15,15/8/12,30.803,-0.951,0,1.566
2012-Aug-16,16/8/12,31.319,-0.406,0,1.566
2012-Aug-17,17/8/12,,,,1.566
2012-Aug-18,18/8/12,30.543,-1.121,0,1.566
2012-Aug-19,19/8/12,31.174,-0.46,0,1.566
2012-Aug-20,20/8/12,31.783,0.178,0,1.566
2012-Aug-21,21/8/12,32.101,0.526,0.012,1.566
2012-Aug-22,22/8/12,31.198,-0.347,0,1.566
2012-Aug-23,23/8/12,31.762,0.247,0,1.566
2012-Aug-24,24/8/12,30.79,-0.694,0,1.566
2012-Aug-25,25/8/12,29.479,-1.976,0,1.566
2012-Aug-26,26/8/12,30.333,-1.092,0,1.566
2012-Aug-27,27/8/12,31.055,-0.34,0,1.566
2012-Aug-28,28/8/12,30.681,-0.684,0,1.566
2012-Aug-29,29/8/12,30.964,-0.371,0,1.566
2012-Aug-30,30/8/12,31.166,-0.139,0,1.566
2012-Aug-31,31/8/12,31.054,-0.221,0,1.566
2012-Sep-01,1/9/12,31.155,-0.091,0,1.566
2012-Sep-02,2/9/12,30.88,-0.335,0,1.566
2012-Sep-03,3/9/12,31.282,0.096,0,1.566
2012-Sep-04,4/9/12,30.719,-0.436,0,1.566
2012-Sep-05,5/9/12,30.504,-0.621,0,1.566
