"colony","year","Site","track","sample","height","dia","StavR","WtavR","WtsdR","StsdR","winSlope","sumSlope","ccoldday","warmday","WcsavR","WcssdR","ScsavR","ScssdR","cummu_dhwm","cummu_dcwm","gulf","calc","count95","count90","count10","count05","Bheight"
"ala12",2000,"AlAqah","t1","ala12_t1",13.5,23,32.3198387096774,23.1459016393443,0.423786019311556,0.545369454967385,0.0958541383709923,-0.0338162736140264,42,301,0.147639344262295,0.0753255230730561,0.185354838709677,0.077581706643456,0,0,"oman",0.797,0,0,0,0,4.94075
"ala12",2000,"AlAqah","t2","ala12_t2",13.5,23,32.3198387096774,23.1459016393443,0.423786019311556,0.545369454967385,0.0958541383709923,-0.0338162736140264,42,301,0.147639344262295,0.0753255230730561,0.185354838709677,0.077581706643456,0,0,"oman",1.007,0,0,0,0,4.94075
"dib04",2000,"Dibba","t1","dib04_t1",14,28,32.3096721311475,23.046393442623,0.417380852407348,0.431566785921232,0.0937841708852945,-0.0371386590937154,42,301,0.147688524590164,0.0739854807791381,0.160049180327869,0.061998770479612,0,0,"oman",0.94,0,0,0,0,5.307
"dib04",2000,"Dibba","t2","dib04_t2",14,28,32.3096721311475,23.046393442623,0.417380852407348,0.431566785921232,0.0937841708852945,-0.0371386590937154,42,301,0.147688524590164,0.0739854807791381,0.160049180327869,0.061998770479612,0,0,"oman",1.335,0,0,0,0,5.307
"ras04",2000,"RasGhanada","t1","ras04_t1",7.5,14,33.4234426229508,21.0190163934426,0.65686808649843,0.450883892097517,0.11710507470058,-0.0315652961270939,42,290,0.146868852459016,0.0916863267541088,0.109147540983607,0.0309552559164427,0,-42.6148788697398,"gulf",0.7,3,19,21,6,2.152
"ras04",2000,"RasGhanada","t2","ras04_t2",7.5,14,33.4234426229508,21.0190163934426,0.65686808649843,0.450883892097517,0.11710507470058,-0.0315652961270939,42,290,0.146868852459016,0.0916863267541088,0.109147540983607,0.0309552559164427,0,-42.6148788697398,"gulf",0.671,3,19,21,6,2.152
"ras12",2000,"RasGhanada","t1","ras12_t1",12,16,33.4234426229508,21.0190163934426,0.65686808649843,0.450883892097517,0.11710507470058,-0.0315652961270939,42,290,0.146868852459016,0.0916863267541088,0.109147540983607,0.0309552559164427,0,-42.6148788697398,"gulf",1.452,3,19,21,6,4.99975
"ras12",2000,"RasGhanada","t2","ras12_t2",12,16,33.4234426229508,21.0190163934426,0.65686808649843,0.450883892097517,0.11710507470058,-0.0315652961270939,42,290,0.146868852459016,0.0916863267541088,0.109147540983607,0.0309552559164427,0,-42.6148788697398,"gulf",0.504,3,19,21,6,4.99975
"sad05",2000,"Saadiyat","t1","sad05_t1",11,18,33.6080327868852,20.7747540983607,0.640399892143904,0.453210104595102,0.12020405811417,-0.0367645388319546,42,290,0.122245901639344,0.0716711601082111,0.122065573770492,0.0254393847229442,0,-43.0513330829349,"gulf",1.507,4,30,28,9,NA
"sad05",2000,"Saadiyat","t2","sad05_t2",11,18,33.6080327868852,20.7747540983607,0.640399892143904,0.453210104595102,0.12020405811417,-0.0367645388319546,42,290,0.122245901639344,0.0716711601082111,0.122065573770492,0.0254393847229442,0,-43.0513330829349,"gulf",1.507,4,30,28,9,NA
"sad12",2000,"Saadiyat","t1","sad12_t1",9,16,33.6080327868852,20.7747540983607,0.640399892143904,0.453210104595102,0.12020405811417,-0.0367645388319546,42,290,0.122245901639344,0.0716711601082111,0.122065573770492,0.0254393847229442,0,-43.0513330829349,"gulf",1.079,4,30,28,9,1.7298
"sad15",2000,"Saadiyat","t1","sad15_t1",14,22,33.6080327868852,20.7747540983607,0.640399892143904,0.453210104595102,0.12020405811417,-0.0367645388319546,42,290,0.122245901639344,0.0716711601082111,0.122065573770492,0.0254393847229442,0,-43.0513330829349,"gulf",0.799,4,30,28,9,3.91
"sad15",2000,"Saadiyat","t2","sad15_t2",14,22,33.6080327868852,20.7747540983607,0.640399892143904,0.453210104595102,0.12020405811417,-0.0367645388319546,42,290,0.122245901639344,0.0716711601082111,0.122065573770492,0.0254393847229442,0,-43.0513330829349,"gulf",1.2,4,30,28,9,3.91
