"colony","year","Site","track","sample","height","dia","StavR","WtavR","WtsdR","StsdR","winSlope","sumSlope","ccoldday","warmday","WcsavR","WcssdR","ScsavR","ScssdR","cummu_dhwm","cummu_dcwm","gulf","density","count95","count90","count10","count05","Bheight"
"ala12",2002,"AlAqah","t1","ala12_t1",13.5,23,32.91,23.4968852459016,0.426460396690426,0.556453052826562,0.050457998929909,-0.0303648187018975,33,292,0.119295081967213,0.0682842940121897,0.137868852459016,0.0435072696645193,87.4635307917887,0,"oman",1.473910828,0,6,0,0,6.32315
"ala12",2002,"AlAqah","t2","ala12_t2",13.5,23,32.91,23.4968852459016,0.426460396690426,0.556453052826562,0.050457998929909,-0.0303648187018975,33,292,0.119295081967213,0.0682842940121897,0.137868852459016,0.0435072696645193,87.4635307917887,0,"oman",1.262126382,0,6,0,0,6.32315
"del20",2002,"Delma","t1","del20_t1",9,14,34.0031147540984,20.1475409836066,0.715559584608915,0.381342107927631,0.0817668024859037,-0.037236202000247,34,304,0.0846885245901639,0.0506048551635139,0.0515245901639344,0.0277149818433863,16.0498416422288,0,"gulf",1.29466899,15,46,49,34,2.3756
"dib04",2002,"Dibba","t1","dib04_t1",14,28,32.8047540983607,23.3826229508197,0.434913407624032,0.532283153210072,0.0528136807013212,-0.0292845207227229,33,292,0.119770491803279,0.0704803503213538,0.152065573770492,0.0463906847159567,56.2519882697946,0,"oman",0.928595439,0,1,0,0,6.93665
"dib04",2002,"Dibba","t2","dib04_t2",14,28,32.8047540983607,23.3826229508197,0.434913407624032,0.532283153210072,0.0528136807013212,-0.0292845207227229,33,292,0.119770491803279,0.0704803503213538,0.152065573770492,0.0463906847159567,56.2519882697946,0,"oman",1.094699365,0,1,0,0,6.93665
"ras04",2002,"RasGhanada","t1","ras04_t1",7.5,14,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.433689952,25,54,22,5,2.7726
"ras04",2002,"RasGhanada","t2","ras04_t2",7.5,14,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.329604272,25,54,22,5,2.7726
"ras11",2002,"RasGhanada","t1","ras11_t1",11,14,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",0.921658111,25,54,22,5,3.40435
"ras11",2002,"RasGhanada","t2","ras11_t2",11,14,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.148028653,25,54,22,5,3.40435
"ras12",2002,"RasGhanada","t1","ras12_t1",12,16,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.449600272,25,54,22,5,6.02645
